"ID","YEAR","MAKE","MODEL","VEHICLE CLASS","ENGINE SIZE","CYLINDERS","TRANSMISSION","FUEL","FUEL CONSUMPTION","COMB (mpg)","EMISSIONS"
1,2000,"ACURA","1.6EL","COMPACT",1.60,4,"A4","X",9.20,35,186
2,2000,"ACURA","1.6EL","COMPACT",1.60,4,"M5","X",8.50,37,175
3,2000,"ACURA","3.2TL","MID-SIZE",3.20,6,"AS5","Z",12.20,28,230
4,2000,"ACURA","3.5RL","MID-SIZE",3.50,6,"A4","Z",13.40,25,264
5,2000,"ACURA","INTEGRA","SUBCOMPACT",1.80,4,"A4","X",10.00,33,198
6,2000,"ACURA","INTEGRA","SUBCOMPACT",1.80,4,"M5","X",9.30,34,189
7,2000,"ACURA","INTEGRA GSR/TYPE R","SUBCOMPACT",1.80,4,"M5","Z",9.40,34,191
8,2000,"ACURA","NSX","SUBCOMPACT",3.00,6,"AS4","Z",13.60,24,267
9,2000,"ACURA","NSX","SUBCOMPACT",3.20,6,"M6","Z",13.80,24,269
10,2000,"AUDI","A4","COMPACT",1.80,4,"A5","Z",11.40,30,218
11,2000,"AUDI","A4","COMPACT",1.80,4,"M5","Z",9.70,34,193
12,2000,"AUDI","A4","COMPACT",2.80,6,"A5","Z",13.00,26,248
13,2000,"AUDI","A4","COMPACT",2.80,6,"M5","Z",11.70,29,225
14,2000,"AUDI","A4 QUATTRO","COMPACT",1.80,4,"A5","Z",12.10,28,232
15,2000,"AUDI","A4 QUATTRO","COMPACT",1.80,4,"M5","Z",10.70,30,214
16,2000,"AUDI","A4 QUATTRO","COMPACT",2.80,6,"A5","Z",13.30,25,255
17,2000,"AUDI","A4 QUATTRO","COMPACT",2.80,6,"M5","Z",12.70,26,251
18,2000,"AUDI","A6","MID-SIZE",2.80,6,"A5","Z",13.40,25,258
19,2000,"AUDI","A6 AVANT QUATTRO","STATION WAGON - MID-SIZE",2.80,6,"A5","Z",13.80,24,269
20,2000,"AUDI","A6 QUATTRO","MID-SIZE",2.70,6,"A5","Z",13.60,25,264
21,2000,"AUDI","A6 QUATTRO","MID-SIZE",2.70,6,"M6","Z",13.60,24,267
22,2000,"AUDI","A6 QUATTRO","MID-SIZE",2.80,6,"A5","Z",13.80,24,269
23,2000,"AUDI","A6 QUATTRO","MID-SIZE",2.80,6,"M5","Z",13.00,25,260
24,2000,"AUDI","A6 QUATTRO","MID-SIZE",4.20,8,"A5","Z",13.90,24,269
